Gender;age;Marital;Education;Religion;Occupation;Affordability;Eligibility;Working;NonWorking;Member;Ratio;MoreIncome;Worthy;Compliance;IDRIncome;USDIncome;Transportation;Comfort;TravelTime;BetterLife;Interaction;Parenting;SelfCare;Famil;Wellbeing;Stress;CommuteTime;Satisfaction
1;23;2;3;1;5;3;4;2;1;3;150;3;4;4;1400000;10000;4;4;5;3;4;4;3;4;4;3;4;Biasa
1;23;2;3;1;5;3;4;2;3;5;250;3;4;4;1200000;8571;4;4;4;3;4;3;3;4;4;3;4;Biasa
1;30;1;3;1;5;3;3;2;2;4;200;4;4;3;1800000;12857;4;4;4;3;3;4;3;4;4;3;4;Biasa
1;25;1;3;1;3;3;4;2;2;4;200;3;3;4;1800000;12857;4;4;4;3;3;4;4;3;4;4;4;Biasa
2;28;1;3;1;5;3;5;2;1;3;150;3;4;5;1200000;8571;4;4;4;3;3;4;3;3;4;4;3;Biasa
1;40;1;2;1;5;3;4;2;2;4;200;3;3;4;1800000;12857;4;4;4;3;3;3;4;4;3;3;4;Biasa
1;23;2;3;1;5;3;4;2;2;4;200;3;4;4;1600000;11429;3;4;4;3;3;4;5;4;3;4;3;Biasa
1;28;1;3;1;2;3;3;1;2;3;300;3;3;4;3000000;21429;3;4;4;3;3;4;3;3;4;3;4;Biasa
1;29;2;3;1;3;4;3;2;3;5;250;3;4;3;1800000;12857;4;4;3;3;3;3;3;4;3;3;3;Biasa
1;29;2;3;1;5;3;3;2;2;4;200;3;4;4;1500000;10714;4;4;3;3;4;4;3;3;4;3;3;Biasa
1;31;1;3;1;5;3;3;2;1;3;150;4;4;3;1400000;10000;3;3;4;3;3;4;4;4;3;3;4;Biasa
2;25;2;3;1;5;3;4;2;2;4;200;4;4;5;1600000;11429;4;4;3;3;4;4;4;3;3;4;3;Biasa
1;29;2;3;1;5;3;4;3;2;5;167;3;3;4;2000000;14286;3;3;4;3;3;4;4;3;3;4;4;Biasa
1;30;2;3;1;5;3;3;3;2;5;167;3;3;4;2500000;17857;4;4;3;3;3;4;4;3;3;3;3;Biasa
1;40;1;2;1;5;3;3;2;2;4;200;4;4;3;2000000;14286;4;4;3;3;3;4;4;3;3;3;4;Biasa
1;35;1;3;1;1;3;3;2;2;4;200;3;4;4;2500000;17857;3;3;4;3;3;3;4;4;3;4;4;Biasa
1;36;1;3;1;3;4;4;3;2;5;167;4;4;4;1800000;12857;4;4;4;4;3;2;3;2;3;4;4;Sangat Tidak Puas
2;34;1;5;1;1;4;4;2;2;4;200;4;4;4;2500000;17857;4;3;4;4;2;3;3;2;3;4;4;Sangat Tidak Puas
1;35;1;3;1;3;4;4;2;1;3;150;4;4;3;1500000;10714;4;3;4;5;2;3;4;3;3;4;4;Sangat Tidak Puas
1;38;1;5;1;2;4;4;1;4;5;500;4;4;4;3000000;21429;4;4;5;5;2;3;3;2;3;4;4;Sangat Tidak Puas
1;35;1;5;1;1;4;4;2;2;4;200;4;4;4;2500000;17857;4;3;4;4;2;3;3;2;3;2;2;Sangat Tidak Puas
1;38;1;3;1;4;4;4;1;3;4;400;4;4;4;1700000;12143;4;4;3;4;4;3;4;3;4;4;5;Sangat Tidak Puas
1;39;1;2;1;4;4;4;1;3;4;400;4;4;4;1800000;12857;4;4;4;4;4;3;4;3;4;4;5;Sangat Tidak Puas
1;40;1;2;1;3;4;4;1;2;3;300;4;4;3;2500000;17857;4;3;4;4;3;3;4;3;2;2;4;Sangat Tidak Puas
1;36;1;3;1;3;5;5;1;4;5;500;5;4;4;2500000;17857;4;4;4;4;4;4;3;4;4;4;4;Sangat Tidak Puas
1;38;1;3;1;5;4;4;3;3;6;200;4;4;4;2000000;14286;4;4;4;4;4;4;4;4;4;4;4;Sangat Tidak Puas
1;38;2;3;1;3;4;4;1;1;2;200;4;4;4;3000000;21429;4;4;4;4;4;3;3;3;4;4;4;Sangat Tidak Puas
1;46;1;3;1;3;4;4;4;0;4;100;4;4;4;2000000;14286;4;4;4;2;3;2;2;2;2;2;2;Sangat Puas
1;30;1;3;1;3;4;4;1;1;2;200;4;4;4;2000000;14286;4;4;4;4;4;3;4;4;4;3;4;Sangat Tidak Puas
1;37;1;3;1;3;3;3;1;4;5;500;4;3;2;1600000;11429;4;3;4;4;3;4;4;4;4;4;4;Sangat Tidak Puas
1;46;1;3;1;4;4;4;3;2;5;167;4;4;4;3000000;21429;4;4;4;2;2;2;2;2;2;4;4;Sangat Puas
1;56;1;3;1;1;4;4;3;3;6;200;4;4;4;3300000;23571;4;4;4;2;2;2;2;2;2;2;2;Sangat Puas
2;30;1;5;1;5;4;5;2;3;5;250;2;3;2;2000000;14286;4;4;4;3;2;2;3;3;2;2;2;Biasa
1;50;1;3;1;1;4;4;1;1;2;200;4;4;4;2800000;20000;3;2;1;3;2;1;1;1;2;1;1;Biasa
2;48;1;5;1;1;4;5;3;3;6;200;3;3;3;3300000;23571;4;3;4;5;2;3;3;4;2;4;4;Sangat Tidak Puas
1;30;1;3;1;3;4;3;1;2;3;300;4;3;3;1600000;11429;5;3;3;5;4;4;4;4;3;4;3;Sangat Tidak Puas
1;35;1;5;1;3;4;4;1;4;5;500;4;4;4;2000000;14286;4;3;5;4;3;2;4;3;2;4;4;Sangat Tidak Puas
1;25;1;3;1;3;4;4;1;1;2;200;3;3;3;1300000;9286;3;4;3;3;3;3;4;4;3;4;2;Biasa
1;25;1;3;1;3;3;5;2;0;2;100;3;3;3;1550000;11071;4;4;3;1;1;1;1;1;1;1;1;Sangat Puas
1;56;1;3;1;4;5;5;1;1;2;200;4;4;3;800000;5714;4;4;4;3;4;3;3;3;4;3;3;Biasa
1;53;1;1;1;4;4;4;1;1;2;200;4;4;4;850000;6071;4;4;4;2;2;2;2;2;4;2;2;Sangat Puas
2;23;2;4;1;3;2;3;2;1;3;150;4;4;3;1500000;10714;4;3;4;4;3;2;2;2;2;3;3;Sangat Tidak Puas
1;21;2;3;1;3;3;3;3;3;6;200;3;3;3;720000;5143;3;3;3;3;3;2;3;2;2;3;3;Biasa
1;35;1;5;1;5;4;4;1;3;4;400;3;3;3;5000000;35714;4;3;3;4;3;3;2;2;3;4;5;Sangat Tidak Puas
1;30;1;5;1;3;4;4;1;2;3;300;4;4;4;2500000;17857;4;4;3;4;3;2;2;2;3;4;4;Sangat Tidak Puas
1;37;1;2;1;4;4;3;1;2;3;300;4;4;3;1500000;10714;4;3;3;4;2;3;3;2;3;4;4;Sangat Tidak Puas
1;38;1;2;1;4;4;4;2;2;4;200;4;4;3;1800000;12857;4;4;3;4;3;3;3;3;3;4;4;Sangat Tidak Puas
